Date,date,spy_price,spy_return,vix,prob,actual_crash,signal,stock_balance,has_active_option,option_start_idx,option_expiry_idx,strike_price,option_price,option_cost,option_exist_dollar_return,option_balance,cash_balance,exit_type,strategy_balance,strategy_return,cum_strategy_dollar_return,cum_strategy_return,benchmark_balance,cum_benchmark_dollar_return,cum_benchmark_return,benchmark_return,strategy_peak,benchmark_peak,strategy_drawdown,benchmark_drawdown
2024-01-22,2024-01-22,475.9,0.0021268083135042026,13.19,0.08,0.0,0,475.9,False,-1,-1,,,,,0.0,0.0,,475.9,0.0021268083135042026,6.659999999999968,0.01419316341317869,475.9,6.659999999999968,0.01419316341317869,0.0021268083135042026,0.01419316341317869,0.01419316341317869,0.0,0.0
2024-01-23,2024-01-23,477.28,0.002899768859004004,12.55,0.1,0.0,0,477.28,False,-1,-1,,,,,0.0,0.0,,477.28,0.002899768859004004,8.039999999999964,0.01713408916545896,477.28,8.039999999999964,0.01713408916545896,0.002899768859004004,0.01713408916545896,0.01713408916545896,0.0,0.0
2024-01-24,2024-01-24,477.81,0.0011104592691921766,13.14,0.07,0.0,0,477.81,False,-1,-1,,,,,0.0,0.0,,477.81,0.0011104592691921766,8.569999999999993,0.018263575142784063,477.81,8.569999999999993,0.018263575142784063,0.0011104592691921766,0.018263575142784063,0.018263575142784063,0.0,0.0
2024-01-25,2024-01-25,480.4,0.005420564659592619,13.45,0.06,0.0,0,480.4,False,-1,-1,,,,,0.0,0.0,,480.4,0.005420564659592619,11.159999999999968,0.023783138692353524,480.4,11.159999999999968,0.023783138692353524,0.005420564659592619,0.023783138692353524,0.023783138692353524,0.0,0.0
2024-01-26,2024-01-26,479.79,-0.0012697751873438357,13.26,0.0,0.0,0,479.79,False,-1,-1,,,,,0.0,0.0,,479.79,-0.0012697751873438357,10.550000000000011,0.02248316426562103,479.79,10.550000000000011,0.02248316426562103,-0.0012697751873438357,0.023783138692353524,0.023783138692353524,-0.001269775187343789,-0.001269775187343789
2024-01-29,2024-01-29,483.59,0.007920131724295842,13.6,0.08,0.0,0,483.59,False,-1,-1,,,,,0.0,0.0,,483.59,0.007920131724295842,14.349999999999966,0.03058136561247968,483.59,14.349999999999966,0.03058136561247968,0.007920131724295842,0.03058136561247968,0.03058136561247968,0.0,0.0
2024-01-30,2024-01-30,483.22,-0.0007651109410863333,13.31,0.09,0.0,0,483.22,False,-1,-1,,,,,0.0,0.0,,483.22,-0.0007651109410863333,13.980000000000018,0.02979285653396986,483.22,13.980000000000018,0.02979285653396986,-0.0007651109410863333,0.03058136561247968,0.03058136561247968,-0.00076511094108635,-0.00076511094108635
2024-01-31,2024-01-31,475.33,-0.016327966557675655,14.35,0.0,0.0,0,475.33,False,-1,-1,,,,,0.0,0.0,,475.33,-0.016327966557675655,6.089999999999975,0.01297843321114989,475.33,6.089999999999975,0.01297843321114989,-0.016327966557675655,0.03058136561247968,0.03058136561247968,-0.017080584792903062,-0.017080584792903062
2024-02-01,2024-02-01,481.56,0.01310668377758617,13.88,0.02867959372114497,0.0,0,481.56,False,-1,-1,,,,,0.0,0.0,,481.56,0.01310668377758617,12.319999999999993,0.026255221208763092,481.56,12.319999999999993,0.026255221208763092,0.01310668377758617,0.03058136561247968,0.03058136561247968,-0.004197770838933751,-0.004197770838933751
2024-02-02,2024-02-02,486.63,0.010528283079989986,13.85,0.03,0.0,0,486.63,False,-1,-1,,,,,0.0,0.0,,486.63,0.010528283079989986,17.389999999999986,0.03705992668996672,486.63,17.389999999999986,0.03705992668996672,0.010528283079989986,0.03705992668996672,0.03705992668996672,0.0,0.0
2024-02-05,2024-02-05,484.85,-0.0036578098349875354,13.67,0.13,0.0,0,484.85,False,-1,-1,,,,,0.0,0.0,,484.85,-0.0036578098349875354,15.610000000000014,0.033266558690648734,484.85,15.610000000000014,0.033266558690648734,-0.0036578098349875354,0.03705992668996672,0.03705992668996672,-0.003657809834987512,-0.003657809834987512
2024-02-06,2024-02-06,486.26,0.0029081159121377986,13.06,0.18,0.0,0,486.26,False,-1,-1,,,,,0.0,0.0,,486.26,0.0029081159121377986,17.019999999999982,0.03627141761145678,486.26,17.019999999999982,0.03627141761145678,0.0029081159121377986,0.03705992668996672,0.03705992668996672,-0.0007603312578345044,-0.0007603312578345044
2024-02-07,2024-02-07,490.32,0.008349442684983277,12.83,0.2099086437104708,0.0,0,490.32,False,-1,-1,,,,,0.0,0.0,,490.32,0.008349442684983277,21.079999999999984,0.04492370641889008,490.32,21.079999999999984,0.04492370641889008,0.008349442684983277,0.04492370641889008,0.04492370641889008,0.0,0.0
2024-02-08,2024-02-08,490.53,0.00042829172785108227,12.79,0.2499086437104708,0.0,0,490.53,False,-1,-1,,,,,0.0,0.0,,490.53,0.00042829172785108227,21.289999999999964,0.04537123859858487,490.53,21.289999999999964,0.04537123859858487,0.00042829172785108227,0.04537123859858487,0.04537123859858487,0.0,0.0
2024-02-09,2024-02-09,493.37,0.00578965608627402,12.93,0.23,0.0,0,493.37,False,-1,-1,,,,,0.0,0.0,,493.37,0.00578965608627402,24.129999999999995,0.051423578552553056,493.37,24.129999999999995,0.051423578552553056,0.00578965608627402,0.051423578552553056,0.051423578552553056,0.0,0.0
2024-02-12,2024-02-12,493.15,-0.0004459128037781479,13.93,0.2099086437104708,0.0,0,493.15,False,-1,-1,,,,,0.0,0.0,,493.15,-0.0004459128037781479,23.909999999999968,0.05095473531668222,493.15,23.909999999999968,0.05095473531668222,-0.0004459128037781479,0.051423578552553056,0.051423578552553056,-0.00044591280377815804,-0.00044591280377815804
